movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2279813
霸王别姬,2,9.6,1691774
阿甘正传,3,9.5,1715503
这个杀手不太冷,4,9.4,1897688
泰坦尼克号,5,9.4,1675291
美丽人生,6,9.5,1059623
千与千寻,7,9.4,1793700
辛德勒的名单,8,9.5,875763
盗梦空间,9,9.3,1663682
忠犬八公的故事,10,9.4,1139379
星际穿越,11,9.3,1336064
海上钢琴师,12,9.3,1353289
楚门的世界,13,9.3,1249303
三傻大闹宝莱坞,14,9.2,1517100
机器人总动员,15,9.3,1069872
放牛班的春天,16,9.3,1052648
大话西游之大圣娶亲,17,9.2,1220554
疯狂动物城,18,9.2,1476973
无间道,19,9.2,1010663
熔炉,20,9.3,745032
教父,21,9.3,744938
当幸福来敲门,22,9.1,1219641
龙猫,23,9.2,1016865
怦然心动,24,9.1,1434635
控方证人,25,9.6,347647
触不可及,26,9.2,791779
蝙蝠侠：黑暗骑士,27,9.2,829245
末代皇帝,28,9.3,627814
活着,29,9.3,644405
寻梦环游记,30,9.1,1253131
何以为家,31,9.1,791099
乱世佳人,32,9.3,547329
指环王3：王者无敌,33,9.2,602485
哈利·波特与魔法石,34,9.1,838017
飞屋环游记,35,9.0,1064422
摔跤吧！爸爸,36,9.0,1254783
素媛,37,9.3,519976
少年派的奇幻漂流,38,9.1,1118062
十二怒汉,39,9.4,366321
哈尔的移动城堡,40,9.1,788165
鬼子来了,41,9.3,490447
天空之城,42,9.1,669027
大话西游之月光宝盒,43,9.0,971159
我不是药神,44,9.0,1668953
闻香识女人,45,9.1,677836
罗马假日,46,9.0,773793
天堂电影院,47,9.2,510837
辩护人,48,9.2,485012
猫鼠游戏,49,9.0,691112
大闹天宫,50,9.4,324064
搏击俱乐部,51,9.0,684930
教父2,52,9.2,417086
狮子王,53,9.0,653289
指环王2：双塔奇兵,54,9.1,550173
死亡诗社,55,9.1,551128
钢琴家,56,9.2,432627
黑客帝国,57,9.0,632678
指环王1：魔戒再现,58,9.0,617191
饮食男女,59,9.1,463097
窃听风暴,60,9.2,447821
美丽心灵,61,9.0,602316
让子弹飞,62,8.8,1281824
绿皮书,63,8.9,1230613
两杆大烟枪,64,9.1,482196
本杰明·巴顿奇事,65,8.9,781652
海蒂和爷爷,66,9.2,347903
飞越疯人院,67,9.1,462672
看不见的客人,68,8.8,952252
西西里的美丽传说,69,8.9,774605
拯救大兵瑞恩,70,9.0,512429
穿条纹睡衣的男孩,71,9.1,404111
小鞋子,72,9.2,320942
音乐之声,73,9.1,474404
情书,74,8.9,715763
海豚湾,75,9.3,303975
美国往事,76,9.2,330022
致命魔术,77,8.9,682711
沉默的羔羊,78,8.9,674975
禁闭岛,79,8.8,749839
低俗小说,80,8.9,658814
蝴蝶效应,81,8.8,739352
七宗罪,82,8.8,770064
心灵捕手,83,8.9,556621
布达佩斯大饭店,84,8.9,703572
春光乍泄,85,8.9,495538
摩登时代,86,9.3,227495
哈利·波特与死亡圣器(下),87,8.9,613995
被嫌弃的松子的一生,88,8.9,585407
阿凡达,89,8.7,1039133
喜剧之王,90,8.8,755569
致命ID,91,8.8,632880
剪刀手爱德华,92,8.7,874725
勇敢的心,93,8.9,478963
杀人回忆,94,8.9,535047
加勒比海盗,95,8.8,694860
狩猎,96,9.1,293745
请以你的名字呼唤我,97,8.9,528856
天使爱美丽,98,8.7,828996
断背山,99,8.8,582216
红辣椒,100,9.0,331901
7号房的礼物,101,8.9,427304
幽灵公主,102,8.9,429778
小森林 夏秋篇,103,9.0,335784
阳光灿烂的日子,104,8.8,494462
第六感,105,8.9,435558
重庆森林,106,8.8,629530
唐伯虎点秋香,107,8.7,828326
小森林 冬春篇,108,9.0,301304
入殓师,109,8.9,473193
超脱,110,8.9,382744
爱在黎明破晓前,111,8.8,487664
消失的爱人,112,8.7,713614
一一,113,9.0,281986
菊次郎的夏天,114,8.8,448588
蝙蝠侠：黑暗骑士崛起,115,8.8,568968
侧耳倾听,116,8.9,366132
功夫,117,8.7,793144
倩女幽魂,118,8.7,581030
无人知晓,119,9.1,227692
超能陆战队,120,8.7,796390
人生果实,121,9.5,126028
萤火之森,122,8.9,405449
甜蜜蜜,123,8.9,413548
借东西的小人阿莉埃蒂,124,8.8,433408
玛丽和马克思,125,8.9,357970
爱在日落黄昏时,126,8.8,407791
驯龙高手,127,8.7,608052
完美的世界,128,9.1,217652
幸福终点站,129,8.8,433512
告白,130,8.7,571635
哈利·波特与阿兹卡班的囚徒,131,8.8,484238
大鱼,132,8.8,460134
阳光姐妹淘,133,8.8,494400
射雕英雄传之东成西就,134,8.7,515972
恐怖直播,135,8.8,512969
天书奇谭,136,9.2,180129
怪兽电力公司,137,8.7,519813
神偷奶爸,138,8.6,775341
玩具总动员3,139,8.8,401572
傲慢与偏见,140,8.6,616991
哈利·波特与密室,141,8.7,507650
时空恋旅人,142,8.8,458261
教父3,143,8.9,278215
釜山行,144,8.6,925077
